Id,Start time,Completion time,Email,Name,Gender,Age Group,Educational Background,Job Position,Years of Experience in Current Role,Industry Sector,Company Size,Employment Status,Marital Status,Geographic Location,Table 1 : Workplace Policies and Practices.Equal Pay: Men and women are paid equally for the same work at MyCompany.,Table 1 : Workplace Policies and Practices.Promotion Opportunities: Both genders have equal opportunities for career advancement at MyCompany.,Table 1 : Workplace Policies and Practices.Harassment Policies: There are clear policies and procedures in place to address gender-based harassment at MyCompany.,Table 1 : Workplace Policies and Practices.Parental Leave: Parental leave policies are equitable for both men and women at MyCompany.,Table 1 : Workplace Policies and Practices.Flexible Work Arrangements: Flexible work arrangements are accessible to all employees regardless of gender at MyCompany.,Table 2 : Workplace Environment.Inclusive Culture: The workplace fosters an inclusive culture where everyone feels respected and valued at MyCompany.,Table 2 : Workplace Environment.Work-Life Balance: Both men and women are supported in maintaining a healthy work-life balance at MyCompany.,Table 2 : Workplace Environment.Training and Development: Training and development opportunities are equally available to all employees at MyCompany.,Table 2 : Workplace Environment.Gender Bias: Gender biases are actively addressed and mitigated in the workplace at MyCompany.,Table 2 : Workplace Environment.Employee Well-being: Employee well-being initiatives consider gender-specific needs and concerns at MyCompany.,Table 3 : Leadership and Representation.Gender Diversity in Leadership: Leadership positions at MyCompany demonstrate gender diversity.,Table 3 : Leadership and Representation.Mentorship Programs: Mentorship programs at MyCompany are available to support career growth for all genders.,Table 3 : Leadership and Representation.Gender Representation in Decision-making: Both genders are represented in decision-making processes at MyCompany.,Table 3 : Leadership and Representation.Recognition of Women Leaders: Contributions of women leaders at MyCompany are acknowledged and celebrated.,Table 3 : Leadership and Representation.Gender Bias Training: Training programs are conducted at MyCompany to raise awareness about gender biases.,Table 4: Work-Life Balance.Family Support Policies: MyCompany offers supportive policies for employees with family responsibilities.,Table 4: Work-Life Balance.Remote Work Opportunities: Remote work options are available at MyCompany for employees needing flexibility.,Table 4: Work-Life Balance.Workload Distribution: Workloads at MyCompany are distributed fairly regardless of gender.,Table 4: Work-Life Balance.Childcare Assistance: MyCompany provides childcare assistance or subsidies.,Table 4: Work-Life Balance.Stress Management Resources: Resources for managing work-related stress are accessible to all employees at MyCompany.,Table 5: Career Development and Opportunities.Training Accessibility: Training and development programs at MyCompany are equally accessible to all genders.,Table 5: Career Development and Opportunities.Leadership Track: Both men and women have equal access to leadership development programs at MyCompany.,Table 5: Career Development and Opportunities.Promotion Transparency: Promotion processes at MyCompany are transparent and free from gender bias.,Table 5: Career Development and Opportunities.Skill Recognition: Skills and competencies at MyCompany are recognized and rewarded regardless of gender.,Table 5: Career Development and Opportunities.Networking Opportunities: Networking opportunities for career advancement are equally available to all employees at MyCompany.,Table 6 : Perception of Gender Inequality Assessment.Promotion Opportunities,Table 6 : Perception of Gender Inequality Assessment.Harassment Policies,Table 6 : Perception of Gender Inequality Assessment.Flexible Work Arrangements,Table 6 : Perception of Gender Inequality Assessment.Gender Representation in Decision-making,Table 6 : Perception of Gender Inequality Assessment.Recognition of Women Leaders,Any other feedback you want to provide?
22,2/28/24 22:49:11,2/28/24 22:50:36,anonymous,,Female,18 to 25,Bachelor's Degree,Entry-Level,Less than 1 year,Technology,Medium (51-500 employees),Full-time,Single,Urban,Neither agree nor disagree -3,Disagree -2,Neither agree nor disagree -3,Agree 4,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Agree -4,Strongly agree -5,Agree -4,Neither agree nor disagree -3,Disagree -2,Neither agree nor disagree -3,Agree -4,Agree -4,Disagree -2,Neither agree nor disagree -3,Neither agree nor disagree -3,Agree -4,Strongly agree -5,Disagree -2,Neither agree nor disagree -3,Neither agree nor disagree -3,Disagree -2,Strongly disagree -1,Disagree -2,Neither agree nor disagree -3,Disagree -2,Disagree -2,Disagree -2,
23,2/28/24 22:58:10,2/28/24 23:00:09,anonymous,,Male,18 to 25,High school Diploma,Entry-Level,Less than 1 year,Technology,Small (1-50 employees),Full-time,Single,Urban,Agree 4,Neither agree nor disagree -3,Strongly agree -5,Disagree -2,Strongly disagree -1,Strongly disagree -1,Neither agree nor disagree -3,Strongly disagree -1,Strongly agree -5,Disagree -2,Strongly agree -5,Strongly agree -5,Strongly agree -5,Neither agree nor disagree -3,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Neither agree nor disagree -3,Disagree -2,Neither agree nor disagree -3,Neither agree nor disagree -3,Disagree -2,Strongly Agree -5,Strongly disagree -1,Strongly Disagree ,Neither agree nor disagree -3,Disagree -2,Strongly Disagree ,Strongly agree -5,???? 
24,2/29/24 12:43:41,2/29/24 12:48:59,anonymous,,Female,26 to 35,Bachelor's Degree,Executive,4 to 7 years,Manufacturing,Small (1-50 employees),Full-time,Married,Suburban,Strongly agree -5,Strongly agree -5,Agree 4,Agree 4,Strongly agree -5,Agree -4,Neither agree nor disagree -3,Neither agree nor disagree -3,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Neither agree nor disagree -3,Neither agree nor disagree -3,Neither agree nor disagree -3,Agree -4,Disagree -2,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,
25,2/29/24 12:49:49,2/29/24 12:53:16,anonymous,,Female,26 to 35,Bachelor's Degree,Senior-Level,1 to 3 years,Manufacturing,Large (501+ employees),Full-time,Married,Rural,Agree 4,Agree 4,Agree 4,Agree 4,Agree 4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Neither agree nor disagree -3,Agree -4,Agree -4,Agree -4,Agree -4,
26,2/29/24 13:03:50,2/29/24 13:07:31,anonymous,,Male,36 to 45,High school Diploma,Managerial,More than 10 years,Finance,Large (501+ employees),Full-time,Married,Suburban,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Agree -4,Strongly agree -5,Agree -4,Agree -4,Agree -4,Strongly agree -5,Agree -4,Strongly agree -5,Strongly agree -5,Agree -4,Strongly agree -5,Agree -4,Agree -4,Strongly agree -5,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,Strongly agree -5,No
27,2/29/24 13:20:28,2/29/24 13:30:10,anonymous,,Female,26 to 35,High school Diploma,Entry-Level,1 to 3 years,Manufacturing,Large (501+ employees),Full-time,Single,Rural,Agree 4,Agree 4,Agree 4,Strongly disagree -1,Agree 4,Agree -4,Agree -4,Agree -4,Agree -4,Disagree -2,Disagree -2,Agree -4,Agree -4,Agree -4,Disagree -2,Agree -4,Disagree -2,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Strongly Disagree ,Agree -4,Agree -4,Agree -4,
28,3/1/24 8:41:49,3/1/24 8:44:50,anonymous,,Male,18 to 25,High school Diploma,Entry-Level,Less than 1 year,Technology,Small (1-50 employees),Full-time,Single,Urban,Disagree -2,Disagree -2,Strongly disagree -1,Strongly disagree -1,Neither agree nor disagree -3,Strongly disagree -1,Disagree -2,Neither agree nor disagree -3,Agree -4,Neither agree nor disagree -3,Strongly disagree -1,Disagree -2,Neither agree nor disagree -3,Strongly agree -5,Neither agree nor disagree -3,Strongly disagree -1,Disagree -2,Neither agree nor disagree -3,Agree -4,Strongly agree -5,Strongly disagree -1,Disagree -2,Disagree -2,Disagree -2,Disagree -2,Strongly Disagree ,Disagree -2,Disagree -2,Disagree -2,Disagree -2,
29,3/1/24 8:54:54,3/1/24 8:57:05,anonymous,,Male,18 to 25,Other,Entry-Level,4 to 7 years,Technology,Small (1-50 employees),Part-time,Single,Rural,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly disagree -1,Strongly Disagree ,Strongly Disagree ,Strongly Disagree ,Strongly Disagree ,Strongly Disagree ,:)
30,3/1/24 11:03:56,3/1/24 11:10:46,anonymous,,Male,26 to 35,Bachelor's Degree,Senior-Level,4 to 7 years,Education,Large (501+ employees),Contract,Single,Urban,Agree 4,Agree 4,Neither agree nor disagree -3,Strongly disagree -1,Agree 4,Agree -4,Disagree -2,Strongly agree -5,Agree -4,Agree -4,Neither agree nor disagree -3,Agree -4,Agree -4,Agree -4,Neither agree nor disagree -3,Disagree -2,Agree -4,Neither agree nor disagree -3,Strongly disagree -1,Disagree -2,Agree -4,Agree -4,Neither agree nor disagree -3,Neither agree nor disagree -3,Disagree -2,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,
31,3/1/24 16:42:30,3/1/24 16:47:49,anonymous,,Male,26 to 35,Bachelor's Degree,Senior-Level,4 to 7 years,Technology,Small (1-50 employees),Full-time,Single,Urban,Agree 4,Agree 4,Agree 4,Agree 4,Strongly agree -5,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Agree -4,Neither agree nor disagree -3,Agree -4,Strongly agree -5,Agree -4,Neither agree nor disagree -3,Agree -4,Agree -4,Agree -4,Neither agree nor disagree -3,Agree -4,Agree -4,Neither agree nor disagree -3,Agree -4,Agree -4,Agree -4,Agree -4,Modern world and the technology has led people to be equal in gender. Apart from that the awareness programs and Feminism have made an impact to minimize the Gender inequality.
